================ Training Loss (Sat Mar  9 23:23:53 2024) ================
(epoch: 1, iters: 100, time: 0.123, data: 0.314) D_A: 0.290 G_A: 0.276 cycle_A: 3.241 idt_A: 1.052 D_B: 0.318 G_B: 0.267 cycle_B: 2.232 idt_B: 1.345 
(epoch: 2, iters: 2, time: 0.122, data: 0.001) D_A: 0.297 G_A: 0.455 cycle_A: 1.968 idt_A: 0.783 D_B: 0.274 G_B: 0.320 cycle_B: 2.067 idt_B: 0.908 
(epoch: 2, iters: 102, time: 0.123, data: 0.001) D_A: 0.246 G_A: 0.255 cycle_A: 2.411 idt_A: 1.823 D_B: 0.199 G_B: 0.323 cycle_B: 4.068 idt_B: 1.146 
(epoch: 3, iters: 4, time: 0.265, data: 0.001) D_A: 0.271 G_A: 0.448 cycle_A: 2.474 idt_A: 1.149 D_B: 0.232 G_B: 0.264 cycle_B: 2.319 idt_B: 1.027 
(epoch: 3, iters: 104, time: 0.124, data: 0.000) D_A: 0.639 G_A: 0.657 cycle_A: 3.639 idt_A: 1.141 D_B: 0.300 G_B: 0.268 cycle_B: 3.039 idt_B: 1.302 
(epoch: 4, iters: 6, time: 0.125, data: 0.001) D_A: 0.252 G_A: 0.330 cycle_A: 1.639 idt_A: 0.923 D_B: 0.297 G_B: 0.279 cycle_B: 2.377 idt_B: 0.837 
(epoch: 4, iters: 106, time: 0.124, data: 0.000) D_A: 0.259 G_A: 0.365 cycle_A: 3.317 idt_A: 1.454 D_B: 0.268 G_B: 0.497 cycle_B: 3.848 idt_B: 0.835 
(epoch: 5, iters: 8, time: 0.277, data: 0.001) D_A: 0.303 G_A: 0.273 cycle_A: 1.673 idt_A: 1.041 D_B: 0.319 G_B: 0.207 cycle_B: 2.742 idt_B: 0.824 
(epoch: 5, iters: 108, time: 0.124, data: 0.000) D_A: 0.312 G_A: 0.412 cycle_A: 2.172 idt_A: 0.872 D_B: 0.377 G_B: 0.354 cycle_B: 2.080 idt_B: 0.800 
(epoch: 6, iters: 10, time: 0.124, data: 0.001) D_A: 0.229 G_A: 0.453 cycle_A: 1.278 idt_A: 0.781 D_B: 0.255 G_B: 0.175 cycle_B: 1.878 idt_B: 0.460 
(epoch: 6, iters: 110, time: 0.125, data: 0.001) D_A: 0.376 G_A: 0.744 cycle_A: 1.488 idt_A: 0.838 D_B: 0.298 G_B: 0.368 cycle_B: 1.262 idt_B: 0.838 
(epoch: 7, iters: 12, time: 0.307, data: 0.001) D_A: 0.291 G_A: 0.475 cycle_A: 1.515 idt_A: 0.639 D_B: 0.425 G_B: 0.379 cycle_B: 1.943 idt_B: 0.690 
(epoch: 7, iters: 112, time: 0.125, data: 0.001) D_A: 0.270 G_A: 0.389 cycle_A: 1.422 idt_A: 0.660 D_B: 0.293 G_B: 0.206 cycle_B: 1.637 idt_B: 0.709 
(epoch: 8, iters: 14, time: 0.125, data: 0.001) D_A: 0.218 G_A: 0.405 cycle_A: 1.282 idt_A: 0.898 D_B: 0.271 G_B: 0.507 cycle_B: 1.907 idt_B: 0.470 
(epoch: 8, iters: 114, time: 0.125, data: 0.001) D_A: 0.517 G_A: 0.219 cycle_A: 2.553 idt_A: 0.794 D_B: 0.230 G_B: 0.201 cycle_B: 2.055 idt_B: 1.104 
(epoch: 9, iters: 16, time: 0.311, data: 0.001) D_A: 0.236 G_A: 0.380 cycle_A: 2.853 idt_A: 0.724 D_B: 0.279 G_B: 0.464 cycle_B: 1.680 idt_B: 0.977 
